@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
0.265376,0.344376,1.246393,0.249075,-1.486818,1.857931,-1.608857,-0.843435,0.372807,6.009309,0.265672,0.335242,1.220424,0.223067,-1.431296,1.81079,-1.587723,-0.845587,0.287356,5.774944,0.267395,0.277246,1.060056,0.059525,-1.095888,1.510826,-1.451301,-0.86144,0.015545,4.387096,-0.001723,0.267733,0.162878,0.725129,-0.209987,-0.464918,0.870652,-1.080638,-0.907502,0.083946,1.903767,-0.002061,-0.000338,0.252927,0.067553,0.290846,-0.208096,-0.042546,0.22267,-0.430766,-1.003986,0.009245,0.213489,0.012746,0.014469,0.014807,0.230201,0.035336,0.054499,-0.043519,-0.000649,0.02563,-0.069149,-1.3401,0.000009,0.004492,0.035471,0.037194,0.037532,0.022725,0.238836,0.304526,0.189857,2.388365,0.040729,0.229918,'class 1'
0.254099,0.491649,1.100052,0.448539,-1.056086,1.711807,-1.263267,-0.812037,0.890362,4.425533,0.254539,0.479683,1.077956,0.419472,-1.026412,1.672884,-1.253412,-0.814451,0.753376,4.281605,0.257211,0.403471,0.941687,0.235567,-0.837931,1.423007,-1.18744,-0.83151,0.189073,3.407215,-0.002673,0.260108,0.245854,0.655729,-0.088528,-0.410996,0.864532,-0.95306,-0.874953,0.012946,1.65182,-0.005569,-0.002897,0.250112,0.09457,0.267804,-0.165911,-0.044395,0.237284,-0.403195,-0.970019,0.005646,0.205107,0.004426,0.007099,0.009996,0.230915,0.037374,0.054109,-0.041697,-0.000691,0.026598,-0.068295,-1.35748,0.000008,0.004502,0.023624,0.026297,0.029193,0.019198,0.234929,0.294729,0.180449,2.349292,0.039119,0.23405,'class 1'
0.330551,0.512767,1.98465,-2.078169,-0.129569,0.516078,-2.594248,-1.163842,20.890247,4.837063,0.328927,0.500547,1.938747,-2.02417,-0.142818,0.515746,-2.539917,-1.160693,19.128237,4.668538,0.318456,0.422594,1.64602,-1.681143,-0.207036,0.511166,-2.192309,-1.137344,10.328184,3.654388,0.010471,0.294435,0.259089,1.018247,-0.961065,-0.212745,0.46144,-1.422505,-1.073064,1.639125,1.774625,0.034491,0.024021,0.261247,0.096197,0.314299,-0.241155,-0.043766,0.220904,-0.462059,-1.014425,0.013563,0.233219,0.06768,0.057209,0.033188,0.236203,0.03266,0.06367,-0.053576,-0.000651,0.025532,-0.079108,-1.421372,0.000016,0.005475,0.092723,0.082253,0.058232,0.025044,0.250208,0.319837,0.180962,2.502079,0.04615,0.247771,'class 1'
0.335836,0.594326,1.886201,-2.246628,0.617166,0.012176,-2.258804,-1.230508,13.015448,2.578675,0.33411,0.581502,1.843757,-2.190244,0.572069,0.024899,-2.215143,-1.226239,12.035585,2.508893,0.322919,0.499528,1.5705,-1.828438,0.318006,0.103415,-1.931853,-1.195681,6.924264,2.071158,0.011191,0.296914,0.322677,0.968268,-1.044329,-0.013444,0.234274,-1.278603,-1.11284,1.248108,1.144399,0.037197,0.026005,0.261902,0.122732,0.292852,-0.236137,-0.032508,0.18672,-0.422857,-1.044981,0.01036,0.185792,0.072208,0.061017,0.035012,0.237425,0.034171,0.065298,-0.055462,-0.000624,0.025058,-0.08052,-1.465584,0.000017,0.005573,0.096685,0.085494,0.059489,0.024477,0.250521,0.312346,0.188798,2.505206,0.040086,0.25306,'class 1'
0.330896,0.642873,1.677732,-2.038851,0.640869,-0.126834,-1.912016,-1.37083,6.623779,1.593437,0.329399,0.630168,1.643262,-1.993752,0.60631,-0.11659,-1.877162,-1.364815,6.160557,1.549807,0.319539,0.548669,1.416749,-1.697372,0.400943,-0.049531,-1.64784,-1.323395,3.679981,1.277296,0.00986,0.295568,0.368522,0.884968,-1.00343,0.073681,0.095004,-1.098434,-1.213822,0.717042,0.712148,0.03383,0.02397,0.262319,0.144523,0.265434,-0.216691,-0.022143,0.15197,-0.368662,-1.120848,0.006364,0.135529,0.06708,0.05722,0.03325,0.238788,0.035273,0.067205,-0.058124,-0.000577,0.024257,-0.082381,-1.518429,0.000019,0.005686,0.090611,0.080751,0.05678,0.023531,0.250544,0.305123,0.202294,2.505438,0.03375,0.252082,'class 1'
0.397468,0.301023,3.082847,-3.618741,1.705189,-0.038138,-3.580603,-1.397524,82.166725,6.274528,0.394682,0.296881,3.004143,-3.527093,1.619566,-0.036972,-3.490121,-1.395213,74.171051,5.96212,0.376625,0.270847,2.500306,-2.939666,1.120883,-0.027941,-2.911726,-1.377108,35.932854,4.158107,0.018058,0.334869,0.211552,1.434844,-1.681433,0.337897,0.018245,-1.699678,-1.30834,4.171925,1.475629,0.059814,0.041756,0.278747,0.110274,0.35684,-0.36891,-0.004911,0.094595,-0.463504,-1.189479,0.021195,0.155737,0.115936,0.097878,0.056122,0.242452,0.026997,0.076831,-0.072477,-0.000326,0.021012,-0.093488,-1.559101,0.000034,0.006555,0.15223,0.134172,0.092416,0.036294,0.269036,0.332649,0.219303,2.690359,0.040737,0.26367,'class 1'
0.387561,0.356552,2.798253,-3.111347,0.89856,0.188781,-3.300128,-1.476804,58.91774,6.086242,0.385259,0.351259,2.731308,-3.041066,0.867958,0.178915,-3.219982,-1.475222,53.41925,5.776251,0.370129,0.3179,2.298854,-2.582315,0.669096,0.121635,-2.70395,-1.463291,26.619823,3.991965,0.015129,0.333624,0.24378,1.35746,-1.542467,0.252778,0.055837,-1.598304,-1.418016,3.254972,1.368092,0.051634,0.036505,0.281183,0.123911,0.353186,-0.360528,-0.001017,0.078628,-0.439156,-1.328455,0.017424,0.13405,0.104075,0.088946,0.052441,0.243967,0.027092,0.080271,-0.077524,-0.000223,0.019978,-0.097501,1.52943,0.000041,0.006901,0.141292,0.126163,0.089658,0.037216,0.269318,0.334625,0.226522,2.693176,0.038108,0.255451,'class 1'
0.372039,0.372896,2.514235,-2.510581,-0.009745,0.525439,-3.03602,1.557451,39.973698,6.341994,0.370235,0.367801,2.456871,-2.458523,0.003607,0.507101,-2.965624,1.558543,36.446793,6.029909,0.35826,0.335024,2.084435,-2.113549,0.061065,0.396296,-2.509845,1.566169,18.863752,4.222828,0.011975,0.328519,0.258694,1.262743,-1.300874,0.048532,0.215053,-1.515927,-1.549324,2.535272,1.498146,0.041716,0.029741,0.283241,0.131315,0.354578,-0.335371,-0.007048,0.097517,-0.432888,-1.493043,0.015821,0.140665,0.086993,0.075019,0.045277,0.245523,0.026563,0.083647,-0.083056,-0.000082,0.018575,-0.101631,1.475554,0.00005,0.007225,0.124712,0.112737,0.082996,0.037719,0.269626,0.33907,0.235695,2.696262,0.0379,0.252726,'class 1'
0.35774,0.341066,2.32962,-2.029772,-0.696227,0.843188,-2.87296,1.458714,28.447914,6.90488,0.356265,0.337338,2.27792,-1.985245,-0.663869,0.82351,-2.808755,1.459752,25.998796,6.596673,0.346513,0.312683,1.942106,-1.692953,-0.478474,0.699484,-2.392437,1.466484,13.699872,4.779986,0.009752,0.322745,0.250363,1.202336,-1.035799,-0.193177,0.442722,-1.478521,1.484454,1.980095,1.845588,0.03352,0.023768,0.285546,0.132184,0.364797,-0.307354,-0.019642,0.140461,-0.447814,1.50825,0.016346,0.173034,0.070718,0.060966,0.037199,0.247082,0.025345,0.086809,-0.089035,0.000116,0.016569,-0.105604,1.422527,0.000059,0.007463,0.109183,0.099431,0.075664,0.038465,0.270931,0.341506,0.225525,2.709308,0.03971,0.262278,'class 1'
0.348651,0.277769,2.20596,-1.699309,-1.08344,1.050531,-2.74984,1.406384,20.852921,7.221413,0.347362,0.275872,2.158664,-1.655936,-1.048274,1.034184,-2.69012,1.407315,19.017223,6.935218,0.338963,0.262726,1.851732,-1.378189,-0.827517,0.924825,-2.303014,1.41296,9.894894,5.209472,0.008399,0.31959,0.224505,1.173622,-0.817853,-0.377394,0.634735,-1.452588,1.422889,1.457136,2.17846,0.027773,0.019373,0.288719,0.127489,0.377743,-0.292707,-0.031186,0.178009,-0.470717,1.408346,0.018028,0.210423,0.058643,0.050244,0.03087,0.248589,0.023394,0.089589,-0.0953,0.000386,0.013747,-0.109048,1.371245,0.000068,0.007539,0.098773,0.090374,0.071001,0.04013,0.273752,0.3413,0.21729,2.737519,0.041784,0.270897,'class 1'
